gene_a,gene_b,correlation,weight
POSTN,COLEC11,-0.6482374248602762,0.6482374248602762
POSTN,NTM,0.8635021318363801,0.8635021318363801
POSTN,GREM1,0.8087078793698286,0.8087078793698286
POSTN,CCL11,0.724663107885698,0.724663107885698
POSTN,STAR,-0.6228193646596073,0.6228193646596073
POSTN,CXCL14,0.6573913043478261,0.6573913043478261
POSTN,FAP,0.8985219835775953,0.8985219835775953
POSTN,IGFL2,0.6897921054551175,0.6897921054551175
POSTN,GFRA1,0.609127927700558,0.609127927700558
POSTN,COL10A1,0.7113745708285648,0.7113745708285648
POSTN,COL6A6,0.7981042584723324,0.7981042584723324
POSTN,DIO2,0.7815388088929799,0.7815388088929799
POSTN,MEGF10,0.7342794757789153,0.7342794757789153
POSTN,DPT,0.7785041248237033,0.7785041248237033
POSTN,OMD,0.7178863809186072,0.7178863809186072
POSTN,MMP11,0.8423647865381653,0.8423647865381653
POSTN,SFRP4,0.6259167324081378,0.6259167324081378
POSTN,ASPN,0.8704127247693499,0.8704127247693499
POSTN,LUM,0.8930277003077812,0.8930277003077812
POSTN,INHBA,0.881168012977922,0.881168012977922
POSTN,MEOX2,0.7030412408252609,0.7030412408252609
POSTN,PTGER3,0.6359852887254303,0.6359852887254303
POSTN,GJB2,0.7275565284058712,0.7275565284058712
POSTN,SVEP1,0.7502318914654608,0.7502318914654608
POSTN,GRP,0.6567053941485937,0.6567053941485937
POSTN,FMO1,0.6128124326728593,0.6128124326728593
POSTN,NKX3-2,0.6889608344053562,0.6889608344053562
POSTN,PRRX1,0.8839449327214747,0.8839449327214747
POSTN,C5orf46,0.7202551071063122,0.7202551071063122
POSTN,SULF1,0.6685349837220413,0.6685349837220413
POSTN,ACTG2,0.6697216635740397,0.6697216635740397
POSTN,SCG2,0.7238520428004755,0.7238520428004755
POSTN,SLC35D3,0.7038702197004897,0.7038702197004897
POSTN,THBS2,0.8686758741763797,0.8686758741763797
POSTN,ADAM12,0.890828120312448,0.890828120312448
PRRX1,SFRP2,0.8308532317025745,0.8308532317025745
PRRX1,EPYC,0.7473274371778528,0.7473274371778528
PRRX1,MMP13,0.7275708655485121,0.7275708655485121
PRRX1,LRRC15,0.8201144457160635,0.8201144457160635
PRRX1,NTM,0.8571790174211706,0.8571790174211706
PRRX1,GREM1,0.7764321694865417,0.7764321694865417
PRRX1,CCL11,0.7246275449363118,0.7246275449363118
PRRX1,CXCL14,0.7184484272047467,0.7184484272047467
PRRX1,FAP,0.9201160012889033,0.9201160012889033
PRRX1,IGFL2,0.6956976462405393,0.6956976462405393
PRRX1,GFRA1,0.6754158048049222,0.6754158048049222
PRRX1,COL10A1,0.7923403593373259,0.7923403593373259
PRRX1,COL6A6,0.7379118218352554,0.7379118218352554
PRRX1,DIO2,0.7758214094919196,0.7758214094919196
PRRX1,MEGF10,0.7270220158430797,0.7270220158430797
PRRX1,DPT,0.7564593410025809,0.7564593410025809
PRRX1,OMD,0.7620677657289732,0.7620677657289732
PRRX1,MMP11,0.8194303069401163,0.8194303069401163
PRRX1,SFRP4,0.7314512383470927,0.7314512383470927
PRRX1,SEMA3D,0.6016566869154337,0.6016566869154337
PRRX1,ASPN,0.8406119359602319,0.8406119359602319
PRRX1,LUM,0.9119527994755497,0.9119527994755497
PRRX1,INHBA,0.8676127512527917,0.8676127512527917
PRRX1,MEOX2,0.6722034620013849,0.6722034620013849
PRRX1,PTGER3,0.6692781030900343,0.6692781030900343
PRRX1,GJB2,0.7048953877265303,0.7048953877265303
PRRX1,TPSB2,0.6036143106256934,0.6036143106256934
PRRX1,SVEP1,0.743794042156024,0.743794042156024
PRRX1,GRP,0.6769993640892451,0.6769993640892451
PRRX1,FMO1,0.7493397425904493,0.7493397425904493
PRRX1,NKX3-2,0.7633717305922998,0.7633717305922998
PRRX1,PTPRD,0.6215020166890743,0.6215020166890743
PRRX1,CPA3,0.617193200406139,0.617193200406139
PRRX1,C5orf46,0.6837166992504466,0.6837166992504466
PRRX1,SULF1,0.6896547739419326,0.6896547739419326
PRRX1,ACTG2,0.6516392404360049,0.6516392404360049
PRRX1,SCG2,0.7214053489483216,0.7214053489483216
PRRX1,SLC35D3,0.71087212340902,0.71087212340902
PRRX1,THBS2,0.8714741274903054,0.8714741274903054
PRRX1,ADAM12,0.8527605862287359,0.8527605862287359
LUM,SFRP2,0.8620682452027245,0.8620682452027245
LUM,EPYC,0.8257028966080648,0.8257028966080648
LUM,MMP13,0.7352699430144961,0.7352699430144961
LUM,FABP4,0.6256478464470943,0.6256478464470943
LUM,LRRC15,0.8634678163090701,0.8634678163090701
LUM,COMP,0.600109779119893,0.600109779119893
LUM,NTM,0.8803176204827672,0.8803176204827672
LUM,GREM1,0.7998873320189971,0.7998873320189971
LUM,CCL11,0.7821975142080864,0.7821975142080864
LUM,CXCL14,0.7547834975944178,0.7547834975944178
LUM,FAP,0.9387410971233013,0.9387410971233013
LUM,IGFL2,0.7519736753233915,0.7519736753233915
LUM,GFRA1,0.6675521583805627,0.6675521583805627
LUM,COL10A1,0.8236269291881021,0.8236269291881021
LUM,COL6A6,0.7596249412849511,0.7596249412849511
LUM,DIO2,0.7827952678565059,0.7827952678565059
LUM,SERPINB7,0.603459603195572,0.603459603195572
LUM,MEGF10,0.7481468287985739,0.7481468287985739
LUM,DPT,0.8271556324473992,0.8271556324473992
LUM,OMD,0.822398315734789,0.822398315734789
LUM,MMP11,0.8415118880778604,0.8415118880778604
LUM,NNMT,0.6051747241636019,0.6051747241636019
LUM,SFRP4,0.7416251291681019,0.7416251291681019
LUM,SEMA3D,0.6302868146170122,0.6302868146170122
LUM,ASPN,0.8466457834624702,0.8466457834624702
LUM,INHBA,0.8940481560906233,0.8940481560906233
LUM,MEOX2,0.7025548812360067,0.7025548812360067
LUM,PTGER3,0.6958739541550462,0.6958739541550462
LUM,GJB2,0.7545586062067356,0.7545586062067356
LUM,TPSB2,0.6007191287432122,0.6007191287432122
LUM,SVEP1,0.7608742319359104,0.7608742319359104
LUM,GRP,0.6583120726460618,0.6583120726460618
LUM,FMO1,0.7023107703764275,0.7023107703764275
LUM,NKX3-2,0.7589466861698914,0.7589466861698914
LUM,CPA3,0.6434781417706061,0.6434781417706061
LUM,C5orf46,0.761773815081948,0.761773815081948
LUM,SULF1,0.6803186702074467,0.6803186702074467
LUM,ACTG2,0.6772293025478061,0.6772293025478061
LUM,SCG2,0.7455238391537684,0.7455238391537684
LUM,SLC35D3,0.7555340692707275,0.7555340692707275
LUM,THBS2,0.9076669740774898,0.9076669740774898
LUM,ADAM12,0.8741012677918644,0.8741012677918644
GRP,SFRP2,0.6347645675874478,0.6347645675874478
GRP,MMP13,0.690016892265944,0.690016892265944
GRP,LRRC15,0.6499472106437532,0.6499472106437532
GRP,NTM,0.6634584412928213,0.6634584412928213
GRP,GREM1,0.6472272880778798,0.6472272880778798
GRP,FAP,0.6296666334107773,0.6296666334107773
GRP,DIO2,0.6706039745884096,0.6706039745884096
GRP,MEGF10,0.7149318169805602,0.7149318169805602
GRP,MMP11,0.6870482122094933,0.6870482122094933
GRP,ADAM12,0.6156194687535579,0.6156194687535579
COL2A1,DLK1,0.6336742499892533,0.6336742499892533
COL2A1,EDN3,0.6547876229768189,0.6547876229768189
