gene,mean_c2,mean_other,log2fc,pvalue
SLC2A1,12.498819349363707,12.714810196716531,-0.21599084735282403,0.05468181540663876
ARL6IP1,12.974888196324239,12.748459801650304,0.22642839467393472,0.004162878302784463
FOS,11.688472296315956,12.158659157991142,-0.4701868616751863,0.011442518599353257
HMGA1,12.862239814621697,12.676997638207048,0.1852421764146488,0.07679276046406083
HLA-DPA1,12.919161420838554,11.911046154865385,1.008115265973169,9.354898032244933e-08
COL6A1,11.759563524667543,12.607464516398748,-0.8479009917312048,4.159977634576205e-08
SEPP1,12.427769693367976,12.63325131034901,-0.20548161698103407,0.1244500200484425
MCL1,12.904773871335392,12.784735965207297,0.12003790612809517,0.10338628574580772
RPL38,12.850234644117698,12.640068604934966,0.2101660391827327,0.03896538883093834
SET,12.870025668945457,12.875600495526898,-0.005574826581440817,0.91539580394614
PTGS1,12.65427800688956,12.514063015692875,0.1402149911966859,0.2771183337567254
MYL9,12.366219191152302,12.711870415531378,-0.3456512243790755,0.008868000792553782
COL18A1,12.202645162295372,12.907288787758297,-0.7046436254629249,1.250043162577835e-09
GRINA,12.92103661810931,12.698726646061768,0.2223099720475421,0.011126677555420069
ATP2B4,12.622051341846225,12.829699207703275,-0.20764786585704975,0.025445604487987526
RAD21,12.904640056862931,12.758922456688868,0.14571760017406277,0.05930511581090293
SPOCK2,11.56655153928608,12.182497857282417,-0.6159463179963378,0.004253280497541788
EIF3H,12.83875275893768,12.711866471475927,0.1268862874617529,0.15717637076848034
TRAM1,12.79727255522311,12.734668664842431,0.0626038903806787,0.410433361756682
TOMM20,12.753371975444075,12.81300378138239,-0.05963180593831474,0.3834923596121361
CCT5,12.876839644317247,12.759254194043674,0.11758545027357314,0.10858412054304842
NPC2,12.78500697219869,12.641713108374562,0.14329386382412856,0.14936476347957076
TSPAN3,12.6983830645859,12.791141128538856,-0.09275806395295483,0.26159824450387725
CSRP1,12.748653117722046,12.712181468198352,0.03647164952369408,0.6645459963640166
RPL17,12.647012316553875,12.554893117836608,0.09211919871726693,0.427693054406624
COL6A3,11.65351659292684,12.373403103773107,-0.7198865108462673,8.836866663885656e-05
DCN,11.619650803355237,12.212949150427407,-0.5932983470721709,0.0032287657845075546
STMN1,12.64146318892373,12.630145731757821,0.011317457165908706,0.9179705479456094
EIF5A,12.931929163805378,12.737453208113259,0.19447595569211984,0.005053849066430697
BGN,11.88670924801621,12.554341174335926,-0.6676319263197161,3.0997653895525493e-06
SSR2,12.882935924275312,12.71433550373172,0.16860042054359248,0.029119287115486555
BCAT1,10.379946614585345,11.38554559477787,-1.0055989801925254,8.340598262851482e-05
